Id;Review_text
1;Lindo vestidoBuena telaTalla perfecta
2;Estoy complacido con el producto
3;La tela de buena calidad y entalla bien tal como lo esperaba
4;El productos llegó a tienda antes de lo planeado y eso es un plus total me gusto. Todo perfecto con el servicio:)
5;Acabo de recoger mi pedido y me gusta mucho el diseño de las zapatillas
6;Me quedo bien y resalta mi figura
7;Compre el producto pero la atencion al cliente es pesima compras para recoger un direccion y te cambian a otra direccion sin aviso alguno
8;PEDI UNA ZAPATILLAS 41.5 Y ME TRAEN UNA TALLA DE 42.5 LO PEDI PARA PROVINCIA QUE TUVE Q HACER VENDERLO NO MAS CON USTEDES
9;ME CANCELARON MI PEDIDO MALASO
10;Recién lo compré tengo que esperar para dar una opinión más certera
11;Estuve esperando más de 15 minutos para puedan validar la compra. A mi número de celular tenía que llegar un código de validación cosa que nunca llegó y por ese tema fue la espera. Mi pregunta es: ¿ Porque tanto proceso de validación? Si cuento con el correo de que el producto está listo para ser retirado soy el titular de la compra y tengo el DNI físico número de contacto.. No les parece que ese bendito código estaría de más ?
12;Mi producto llegó el día de la fecha que lo solicité  excelente el servicio y atención.
13;SOLICITE LAS ZAPATILLAS EN TALLA 34.5 YA QUE FIGURABA COMO DISPONIBLE PERO AL MOMENTO QUE ME ENTREGAN ES TALLA 36 ME DICEN QUE DEBO DE LLAMAR A ATENCION AL CLIENTE REALIZO LA LLAMDA Y ME INDICAN QUE DEBO DE ACERCARME A CUALQUIER TIENDA DE OECHSLE POR TELEFONO NO PUDEN INDICAR LA DISPONIBILIDAD ME ACERCO A LA TIENDA DEL JOCKEY PLAZA Y ME INDICAN EN UNA CAJA QUE DEBO DE BUSCAR YO MISMA SI Q ES QUE HAY DICHAS ZAPATILLAS OSEA EN ERROR ES DE UDS Y YO TENGO QUE BUSCAR ME ACERCO A OTRA CAJA ME INDICAN LO MISMO SI NO ME DEVULVEN EL DINERO A UN PLAZI NO MAYOR DE 22 DIAS BIEN FRESCOS LO PASAN CON SU MAQUINA Y ME INDICAN QUE NO HAY STOCK Y QUE SOLO HAY EN CAJAMARCA PODRIAN INDICARME PORQUE VENDEN PRODUCTOS QUE NO HAY LA TALLA QUE INDICAN? LO PEOR DE TODO QUE EL TRATO NO ES BUENO PORQUE PRIMERO DEBO DE BUSCAR YO MISMA Y NO USTEDES QUE VENDIERON PRODUCTOS QUE NO EXISTEN EN LAS TALLAS QUE INDICAN
14;Lo despatam el producto para ver si hay fallas
15;Me gustó mucho el vestido. Considero que es super versatil
16;aun no me llega productor comprado
17;Quise hacer el cambio de talla y me dice que no tienen la talla en la tienda y que solo podría hacer que me devuelvan la plata en 20 o 30 días no te dan otra solución y no me gusto tuve que comprar otra zapatilla de tienda y adicionar lo que faltaba.
18;Pesimo el stock sin revision alguna perjudican pq al comprar con tarjeta uno tiene que esperar 22 dias para el reembolso pesimo.
19;Lo compré el domingo y me llegó en el plazo.
20;Ok gracias llegaron el mismo día
21;Me encanta el modelo son libianas
22;Bellos  talla completa me encanta
23;xmyxydseyncrtucdhbrgskkkkkkkoylioylioyli5ru
24;el modelo es muy bonito es recomendable para sala pequeña no es difícil de armar me gusto mucho
25;Muy bonito me gustó este modelo x q el plato de sopa y la taza son más grandes que otros juegos de vajilla
26;Mi gusto las zapatillas que compré
27;Es un básico muy funcional no tiene pierde.
28;Llego a tiempo materiales de buena calidad justo lo que necesito lo recomiendo.
29;Entrega rápida y nueva atención
30;Un buen celular  y una buena atención
31;Solicite el envío express para que me lo entreguen el mismo día pero hasta el día de hoy no me entregan el producto y no me notifican cuando me lo entregaran
32;Lo compré para regalar no puedo opinar mucho tampoco
33;Lo compre este mes era para mi hijo y el celular cumple con las características ofrecidas en la página web
34;Adaptabilidad para satisfacer diversas necesidades y preferencias de decoración.
35;Acabados impecables para una estética visualmente impresionante.
36;Versatilidad y funcionalidad para adaptarse a cualquier ambiente.
37;Durabilidad excepcional que garantiza años de uso confiable.
38;Diseño moderno y atención meticulosa a los detalles estéticos.
39;Versatilidad y funcionalidad para adaptarse a cualquier ambiente.
40;Practicidad con amplio espacio de almacenamiento para organizar sus pertenencias.
41;Estilo elegante y contemporáneo que se destaca en cualquier espacio.
42;Practicidad con amplio espacio de almacenamiento para organizar sus pertenencias.
43;Estilo elegante y contemporáneo que se destaca en cualquier espacio.
44;Practicidad con amplio espacio de almacenamiento para organizar sus pertenencias.
45;Materiales premium seleccionados para garantizar longevidad y calidad.
46;Estructura robusta y resistente para soportar el desgaste del tiempo.
47;Adaptabilidad para satisfacer diversas necesidades y preferencias de decoración.
48;Montaje fácil y uso intuitivo para una experiencia sin complicaciones.
49;En la página decía tallas adaptadas a Perú y no fue así llegó en talla Brasil. Luego el Call Center me indicó que vaya a la tienda de Centro Cívico para cambiar la talla y me indicaron que esa información era falsa que no venden en tienda el producto.
50;Estructura robusta y resistente para soportar el desgaste del tiempo.
51;Durabilidad excepcional que garantiza años de uso confiable.
52;La facilidad de uso es otro punto fuerte de los productos Madesa. Ya sea en el montaje inicial o en el uso diario este producto está diseñado para ser intuitivo y conveniente mejorando la experiencia del usuario en cada paso
53;Materiales premium seleccionados para garantizar longevidad y calidad.
54;Montaje fácil y uso intuitivo para una experiencia sin complicaciones.
55;Diseño moderno y atención meticulosa a los detalles estéticos.
56;La versatilidad es una característica clave de los productos Madesa. Este artículo se adapta fácilmente a diferentes espacios y necesidades brindando funcionalidad y estilo en un solo paquete.
57;Diseño moderno y atención meticulosa a los detalles estéticos.
58;Construcción sólida y confiable que brinda tranquilidad a largo plazo.
59;Los productos de Madesa siempre destacan por su calidad excepcional. Este producto en particular no es una excepción
60;Compre este producto y me encanta es comodo me gusta
61;Los productos de Madesa siempre destacan por su calidad excepcional. Este producto en particular no es una excepción
62;RÁPIDO ENCENDIDO Y DURADERO EFICIENTE
63;Versatilidad y funcionalidad para adaptarse a cualquier ambiente.
64;COMPRE EL PRODUCTO HACE UNOS DIAS Y ME ENCANTO
65;Madesa continúa ofreciendo una excelente relación calidad-precio con este producto. Obtienes un nivel de calidad premium a un precio accesible lo que lo convierte en una opción inteligente para quienes buscan durabilidad y estilo sin gastar demasiado.
66;Este ropero Madesa es una combinación perfecta de estilo y funcionalidad. Su diseño elegante se integra a la perfección en mi espacio mientras que su capacidad de almacenamiento me ha permitido organizar mi ropa de manera eficiente. ¡Muy recomendado!
67;Adaptabilidad para satisfacer diversas necesidades y preferencias de decoración.
68;Construcción sólida y confiable que brinda tranquilidad a largo plazo.
69;Equilibrio perfecto entre belleza estética y utilidad práctica.
70;Montaje fácil y uso intuitivo para una experiencia sin complicaciones.
71;Durabilidad excepcional que garantiza años de uso confiable.
72;Me gusta  aunque aún no lo recibo
73;Excelente relación calidad-precio proporcionando calidad a un precio asequible.
74;compre este producto y los hilos estaban salidos con algunas partes mal cosidas
75;Me gustaron mucho super lindas y cómodas la talla 38 es precisa.
76;Me gusta la facilidad de comprar por medios e la web
77;El producto llegó con fallas y atención al cliente nunca me dio alguna solución .. estafa total !
78;Buen precio buen descuento tiempo de espera muy pequeño el producto nuevo y muy bonito
79;Me cobraron de los productos y después de un día me llaman a decir q no lo tienen y hasta ahora no me devuelven mi dinero 😡
80;No me llegó el producto a pesar q ya me facturaron el transportista una porqueria
81;No me vino el control remoto mágico como señalaba la promoción
82;FANTASTICO LLEGO EN EL DIA INDICADO.
83;Compré las zapatillas hace unos días y me encantó son súper cómodas combinables con varios estilos de vestir y muy bonitas.
84;Compré el producto hace unos días me gustó el diseño aunque la tela no me convenció tanto pero fuera de eso bueno producto.
85;Tiene que estar en colores oscuros como negro verde azul
