ID;Review text
1;Nada gracias por las promociones
2;Muy ligero y elegante muy práctico para estar en casa y salir. Super combinable
3;Me encantó el rendimiento del equipo y batería
4;muy rapido la llegada y la atencion de primera
5;Hermosas talla exacta buen material
6;Me cancelaron el producto que iba a recibir
7;Producto tal cual se muestra en la foto
8;Viene tal cual como en la foto y es cómodo
9;Pesimo no me dieron el producto que era me dieron uno parecido de menor valor.
10;Beneficiosa para l salud....anti acarosEsteban
11;Hice mi compra por línea pero me van a entregar por partes y me dificulta ya que tendría que gastar en el pasaje ver de que manera no ocasionar este malestar
12;Me dieron fecha de recojo para el 23 de Marzo y hasta ahora no me llega el correo donde me indique que mi pedido esta listo para recoger.
13;Tienen buen sonido cómodos duran bastante la batería
14;Siempre quedó satisfecha con lo que elijo
15;Llegaron los productos antes de tiempo y me encantaron !!!
16;Se demoraron porque previamente había un señor recogiendo un pedido que no lo ubicaban y estaban haciendo llamadas y más cosas... Sólo eso.
17;Pensé que la tela iba a ser más gruesa pero por el precio está bien.
18;El dia 21 de marzo del 2024 compre por la web de Oechsle.pe el producto en descripcionpagando con tarjeta Agora pay el cual iba a ser rerado en Plaza vea de Higuereta eldia 22 de marzo. Al hacer la compra indicaban claramente que habia 10 productos enstock movo por el cual efectue la compra. El correo de confirmacion no llego por loque tuve que llamar telefonicamente a oechsle para pedir explicaciones indicandomeque se elevaria un cket con urgencia para que sea atendido urgentemente esta llamadafue a las 15:30 a las 19:20 recibo un correo indicandome que se habia cancelado micompra por incovenientes en el stock. El mismo dia de la entrega se dieron cuenta queno tenian stock? Cuando el dia anterior cuando compre y PAGUE decian que tenian 10en stock. Me parece una falta de respeto hacer eso osea que si no llamaba a quejamenadie hacia nada por decirme que no cumplirian con la entrega del producto compradoy PAGADO ? No solo estoy furioso con sus metodos engañosos de venta web
19;EL color me encanta y es fresco considerando el material no es tan suave
20;Fue rápida la entrega y fácil la instalación de la cámara
21;Los lentes llegaron antes de lo esperado son talCuál yo lo imaginaba.
22;El personaje es muy parecido al original el tamaño de 50 cm es excelente y viene con buenos detalles la figura.
23;El juego estaba en buen estado ligeros detalles en las esquinas por tener cubierta de cartón pero por dentro todo bien
24;Zapatillas con yaya y sucias y no me pueden hacer el cambio por otras iguales de inmediato tendría q esperar más de una  semana a nueve días pesimo
25;Me gustó x su calidad y diseño
26;Buen material y muy comodas...
27;Exelente producto buen precio lo máximo
28;Muy buen sonidobuen bajo y muy bonito el parlante
29;Es bonito y trabaja bien  cargador bueno
30;No me llego.y cuando lo cancelaron se demoraron
31;me cancelaron la compra sin algùn motivo especifico
32;Compre el producto me encantó mucho y muy rápido
33;Vino fallado y exijo inmediata reposición no tengo porq esperar 7 días como indican
34;Me encantaron justo para la cartera.
35;Buen color y son  suave Lindas son
36;Muy práctico fácil y rápidoTal cual lo pedí muy bueno
37;Realice una compra y bñnujca llego
38;Recibí el producto en 3 días🙂
39;Compré tv LG y no me llega el control mágico que ofrecían
40;Me entallo exacto. Me quedo excelente
41;Es incorrecto que te vendan un producto y al día siguiente anulen tu compra por falta de stock
42;Pedí talla 34 y me llevaron 34.5. El personal de recojo es poco amable y quería botarme rápido ya que tenia más gente en espera solo me dijo que vaya a cambiar la talla y luego a caja. En piso no había talla de la zapatilla pero en tienda online si. Le pregunté al encargado del área de calzado a ver si se podía hacer algo y me dijo que no porque no había la talla. Le solicité a hablar con el encargado de la tienda y me mando a hablar con alguien de lanyard rojo que ese seria el jefe y lo podría encontrar si me daba una vuelta por la tienda. Fui a caja y la encargada tenia un radio el cual se negó a utilizar para llamar al encargado pese a que le solicité amablemente. Finalmente el encargado me explicó que el proceso de tienda virtual no tiene nada que ver con el de tienda física y que haga el reclamo con ellos. Osea no existe una contingencia cuando pasan este tipo de problemas? Entendería que fuese culpa mía peor el error fue de ustedes. Procederé a realizar mi reclamo en el ldr.
43;Delivery extremadamente veloz!
44;Una lindas zapatillas agradecida con el material y con la atencion
45;A pesar que no había nadie esperando demoran para que venga un encargado a traer la llave de su almacén para que puedan ingresar a sacar mi producto.En la tienda de curva nueva esperanza VMT
46;Bueno llego antes de tiempo buen estado y con un buen descuento
47;Producto tal cual la foto color etc
48;Me encantó la rapidez del producto
49;Lindo vestidoBuena telaTalla perfecta
50;Estoy complacido con el producto
51;La tela de buena calidad y entalla bien tal como lo esperaba
52;El productos llegó a tienda antes de lo planeado y eso es un plus total me gusto. Todo perfecto con el servicio:)
53;Acabo de recoger mi pedido y me gusta mucho el diseño de las zapatillas
54;Me quedo bien y resalta mi figura
55;Compre el producto pero la atencion al cliente es pesima compras para recoger un direccion y te cambian a otra direccion sin aviso alguno
56;PEDI UNA ZAPATILLAS 41.5 Y ME TRAEN UNA TALLA DE 42.5 LO PEDI PARA PROVINCIA QUE TUVE Q HACER VENDERLO NO MAS CON USTEDES
57;ME CANCELARON MI PEDIDO MALASO
58;Recién lo compré tengo que esperar para dar una opinión más certera
59;Estuve esperando más de 15 minutos para puedan validar la compra. A mi número de celular tenía que llegar un código de validación cosa que nunca llegó y por ese tema fue la espera. Mi pregunta es: ¿ Porque tanto proceso de validación? Si cuento con el correo de que el producto está listo para ser retirado soy el titular de la compra y tengo el DNI físico número de contacto.. No les parece que ese bendito código estaría de más ?
60;Mi producto llegó el día de la fecha que lo solicité  excelente el servicio y atención.
61;SOLICITE LAS ZAPATILLAS EN TALLA 34.5 YA QUE FIGURABA COMO DISPONIBLE PERO AL MOMENTO QUE ME ENTREGAN ES TALLA 36 ME DICEN QUE DEBO DE LLAMAR A ATENCION AL CLIENTE REALIZO LA LLAMDA Y ME INDICAN QUE DEBO DE ACERCARME A CUALQUIER TIENDA DE OECHSLE POR TELEFONO NO PUDEN INDICAR LA DISPONIBILIDAD ME ACERCO A LA TIENDA DEL JOCKEY PLAZA Y ME INDICAN EN UNA CAJA QUE DEBO DE BUSCAR YO MISMA SI Q ES QUE HAY DICHAS ZAPATILLAS OSEA EN ERROR ES DE UDS Y YO TENGO QUE BUSCAR ME ACERCO A OTRA CAJA ME INDICAN LO MISMO SI NO ME DEVULVEN EL DINERO A UN PLAZI NO MAYOR DE 22 DIAS BIEN FRESCOS LO PASAN CON SU MAQUINA Y ME INDICAN QUE NO HAY STOCK Y QUE SOLO HAY EN CAJAMARCA PODRIAN INDICARME PORQUE VENDEN PRODUCTOS QUE NO HAY LA TALLA QUE INDICAN? LO PEOR DE TODO QUE EL TRATO NO ES BUENO PORQUE PRIMERO DEBO DE BUSCAR YO MISMA Y NO USTEDES QUE VENDIERON PRODUCTOS QUE NO EXISTEN EN LAS TALLAS QUE INDICAN
62;Lo despatam el producto para ver si hay fallas
63;Me gustó mucho el vestido. Considero que es super versatil
64;aun no me llega productor comprado
65;Quise hacer el cambio de talla y me dice que no tienen la talla en la tienda y que solo podría hacer que me devuelvan la plata en 20 o 30 días no te dan otra solución y no me gusto tuve que comprar otra zapatilla de tienda y adicionar lo que faltaba.
66;Pesimo el stock sin revision alguna perjudican pq al comprar con tarjeta uno tiene que esperar 22 dias para el reembolso pesimo.
67;Lo compré el domingo y me llegó en el plazo.
68;Ok gracias llegaron el mismo día
69;Me encanta el modelo son libianas
70;Bellos  talla completa me encanta
71;xmyxydseyncrtucdhbrgskkkkkkkoylioylioyli5ru
72;el modelo es muy bonito es recomendable para sala pequeña no es difícil de armar me gusto mucho
73;Muy bonito me gustó este modelo x q el plato de sopa y la taza son más grandes que otros juegos de vajilla
74;Mi gusto las zapatillas que compré
75;Es un básico muy funcional no tiene pierde.
76;Llego a tiempo materiales de buena calidad justo lo que necesito lo recomiendo.
77;Entrega rápida y nueva atención
78;Un buen celular  y una buena atención
79;Solicite el envío express para que me lo entreguen el mismo día pero hasta el día de hoy no me entregan el producto y no me notifican cuando me lo entregaran
80;Lo compré para regalar no puedo opinar mucho tampoco
81;Lo compre este mes era para mi hijo y el celular cumple con las características ofrecidas en la página web
82;Adaptabilidad para satisfacer diversas necesidades y preferencias de decoración.
83;Acabados impecables para una estética visualmente impresionante.
84;Versatilidad y funcionalidad para adaptarse a cualquier ambiente.
85;Durabilidad excepcional que garantiza años de uso confiable.
86;Diseño moderno y atención meticulosa a los detalles estéticos.
87;Practicidad con amplio espacio de almacenamiento para organizar sus pertenencias.
88;Estilo elegante y contemporáneo que se destaca en cualquier espacio.
89;Materiales premium seleccionados para garantizar longevidad y calidad.
90;Estructura robusta y resistente para soportar el desgaste del tiempo.
91;Montaje fácil y uso intuitivo para una experiencia sin complicaciones.
92;En la página decía tallas adaptadas a Perú y no fue así llegó en talla Brasil. Luego el Call Center me indicó que vaya a la tienda de Centro Cívico para cambiar la talla y me indicaron que esa información era falsa que no venden en tienda el producto.
